title,description,section,link_label,url,resource_type,visibility,quick_action,published,sort_order
Support worker Facebook group,Shared staff links and communication spaces.,Community,Support worker Facebook group,https://www.facebook.com/groups/154269294662396,link,staff,false,true,1000
What to do if you are worried a child is being abused,Core guidance and forms for recognising and reporting concerns.,Safeguarding,What to do if you are worried a child is being abused,assets/documents/support-workers/What_to_do_if_you_re_worried_a_child_is_being_abused.pdf,document,staff,false,true,1010
Body map,Core guidance and forms for recognising and reporting concerns.,Safeguarding,Body map,assets/documents/support-workers/Body-Map.png,document,staff,false,true,1020
Body map guidance notes,Core guidance and forms for recognising and reporting concerns.,Safeguarding,Body map guidance notes,https://www.highspeedtraining.co.uk/hub/child-protection-body-map/,link,staff,false,true,1030
Reporting a safeguarding concern form,Core guidance and forms for recognising and reporting concerns.,Safeguarding,Reporting a safeguarding concern form,assets/documents/support-workers/Time-Specialist-Support-Reporting-a-Safeguarding-Concern-Form.docx,document,staff,false,true,1040
Incident report form - Word document,"Forms for reporting incidents, trial sessions, and one-minute feedback.",Session forms,Incident report form - Word document,assets/documents/support-workers/Incident-report.docx,document,staff,false,true,1050
Incident report form - Google form,"Forms for reporting incidents, trial sessions, and one-minute feedback.",Session forms,Incident report form - Google form,https://goo.gl/forms/XI8tBT6WYHgss7hh2,link,staff,true,true,1060
One minute feedback sheet,"Forms for reporting incidents, trial sessions, and one-minute feedback.",Session forms,One minute feedback sheet,https://docs.google.com/spreadsheets/d/1DsEF76a9gpb5k3cdflkk36KecOyp8GMo7N5u0UTskyA/edit?usp=sharing,link,staff,false,true,1070
One minute feedback form,"Forms for reporting incidents, trial sessions, and one-minute feedback.",Session forms,One minute feedback form,https://docs.google.com/forms/d/e/1FAIpQLSdMEUcyYAR21PLAL0IRLU9lTvJUG3NieuiWVOK5YWaEGSWCOw/viewform?c=0&w=1,form,staff,true,true,1080
One minute feedback how-to video,"Forms for reporting incidents, trial sessions, and one-minute feedback.",Session forms,One minute feedback how-to video,one-minute-feedback.html,page,staff,false,true,1090
Trial session feedback - Google form,"Forms for reporting incidents, trial sessions, and one-minute feedback.",Session forms,Trial session feedback - Google form,https://docs.google.com/forms/d/e/1FAIpQLSf5gf8wny8aJHgWIwhDXtpJk7RGpC4fuJPpcAHKcP6lRTjAVw/viewform?c=0&w=1,form,staff,false,true,1100
Trial session feedback - Word document,"Forms for reporting incidents, trial sessions, and one-minute feedback.",Session forms,Trial session feedback - Word document,assets/documents/support-workers/Feedback-form-for-shadowing-form-only.docx,document,staff,false,true,1110
Where to go guide - Word document,Useful links for planning sessions and finding accessible places.,Planning,Where to go guide - Word document,assets/documents/support-workers/Where-to-go-guide-2017.docx,document,staff,false,true,1120
Where to go guide - PDF,Useful links for planning sessions and finding accessible places.,Planning,Where to go guide - PDF,assets/documents/support-workers/Where-to-go-guide-2017.pdf,document,staff,false,true,1130
Where to go guide - Excel spreadsheet,Useful links for planning sessions and finding accessible places.,Planning,Where to go guide - Excel spreadsheet,assets/documents/support-workers/Where-to-go-guide-2017.xls,document,staff,false,true,1140
Where to go guide - Google sheet,Useful links for planning sessions and finding accessible places.,Planning,Where to go guide - Google sheet,https://docs.google.com/spreadsheets/d/1fvRYMy7NTJ8Xx7DXi5wo_GEd5EgVFOhLNbiCP5-ZFcA/edit?usp=sharing,link,staff,false,true,1150
Manchester City Council Local Offer,Useful links for planning sessions and finding accessible places.,Planning,Manchester City Council Local Offer,https://www.manchesterservicedirectory.co.uk/kb5/manchester/directory/localoffer.page?localofferchannel=0,link,staff,false,true,1160
Day Out With The Kids,Useful links for planning sessions and finding accessible places.,Planning,Day Out With The Kids,https://www.dayoutwiththekids.co.uk/,link,staff,false,true,1170
Public toilet finder - Android,Useful links for planning sessions and finding accessible places.,Planning,Public toilet finder - Android,https://play.google.com/store/apps/details?id=sfcapital.publictoiletinsouthaustralia&hl=en_GB,link,staff,false,true,1180
Public toilet finder - iPhone,Useful links for planning sessions and finding accessible places.,Planning,Public toilet finder - iPhone,https://apps.apple.com/gb/app/toilet-finder/id311896604,link,staff,false,true,1190
Booking system,"Booking, expenses, coding, holiday pay, and internal checklists.",Admin,Booking system,https://booking-system.time-specialist-support.com/,link,staff,true,true,1200
Mileage and expenses form,"Booking, expenses, coding, holiday pay, and internal checklists.",Admin,Mileage and expenses form,assets/documents/support-workers/Mileage-and-Expenses-New.doc,document,staff,false,true,1210
Diagnosis coding reference,"Booking, expenses, coding, holiday pay, and internal checklists.",Admin,Diagnosis coding reference,https://www.dropbox.com/scl/fi/ofe30147taxmzc9gctjiw/Diagnosis-Coding-Reference-V5.pdf?rlkey=5kq5ln780hkuhip0p50qho3s7&dl=0,document,staff,false,true,1220
Holiday pay entitlement,"Booking, expenses, coding, holiday pay, and internal checklists.",Admin,Holiday pay entitlement,assets/documents/support-workers/Holiday-Pay-Entitlement.docx,document,staff,false,true,1230
