section,context,link_text,url,quick_action
Community,Shared staff links and communication spaces.,Support worker Facebook group,https://www.facebook.com/groups/154269294662396,false
Safeguarding,Core guidance and forms for recognising and reporting concerns.,What to do if you are worried a child is being abused,assets/documents/support-workers/What_to_do_if_you_re_worried_a_child_is_being_abused.pdf,false
Safeguarding,Core guidance and forms for recognising and reporting concerns.,Body map,assets/documents/support-workers/Body-Map.png,false
Safeguarding,Core guidance and forms for recognising and reporting concerns.,Body map guidance notes,https://www.highspeedtraining.co.uk/hub/child-protection-body-map/,false
Safeguarding,Core guidance and forms for recognising and reporting concerns.,Reporting a safeguarding concern form,assets/documents/support-workers/Time-Specialist-Support-Reporting-a-Safeguarding-Concern-Form.docx,false
Session forms,"Forms for reporting incidents, trial sessions, and one-minute feedback.",Incident report form - Word document,assets/documents/support-workers/Incident-report.docx,false
Session forms,"Forms for reporting incidents, trial sessions, and one-minute feedback.",Incident report form - Google form,https://goo.gl/forms/XI8tBT6WYHgss7hh2,true
Session forms,"Forms for reporting incidents, trial sessions, and one-minute feedback.",One minute feedback sheet,https://docs.google.com/spreadsheets/d/1DsEF76a9gpb5k3cdflkk36KecOyp8GMo7N5u0UTskyA/edit?usp=sharing,false
Session forms,"Forms for reporting incidents, trial sessions, and one-minute feedback.",One minute feedback form,https://docs.google.com/forms/d/e/1FAIpQLSdMEUcyYAR21PLAL0IRLU9lTvJUG3NieuiWVOK5YWaEGSWCOw/viewform?c=0&w=1,true
Session forms,"Forms for reporting incidents, trial sessions, and one-minute feedback.",One minute feedback how-to video,one-minute-feedback.html,false
Session forms,"Forms for reporting incidents, trial sessions, and one-minute feedback.",Trial session feedback - Google form,https://docs.google.com/forms/d/e/1FAIpQLSf5gf8wny8aJHgWIwhDXtpJk7RGpC4fuJPpcAHKcP6lRTjAVw/viewform?c=0&w=1,false
Session forms,"Forms for reporting incidents, trial sessions, and one-minute feedback.",Trial session feedback - Word document,assets/documents/support-workers/Feedback-form-for-shadowing-form-only.docx,false
Planning,Useful links for planning sessions and finding accessible places.,Where to go guide - Word document,assets/documents/support-workers/Where-to-go-guide-2017.docx,false
Planning,Useful links for planning sessions and finding accessible places.,Where to go guide - PDF,assets/documents/support-workers/Where-to-go-guide-2017.pdf,false
Planning,Useful links for planning sessions and finding accessible places.,Where to go guide - Excel spreadsheet,assets/documents/support-workers/Where-to-go-guide-2017.xls,false
Planning,Useful links for planning sessions and finding accessible places.,Where to go guide - Google sheet,https://docs.google.com/spreadsheets/d/1fvRYMy7NTJ8Xx7DXi5wo_GEd5EgVFOhLNbiCP5-ZFcA/edit?usp=sharing,false
Planning,Useful links for planning sessions and finding accessible places.,Manchester City Council Local Offer,https://www.manchesterservicedirectory.co.uk/kb5/manchester/directory/localoffer.page?localofferchannel=0,false
Planning,Useful links for planning sessions and finding accessible places.,Day Out With The Kids,https://www.dayoutwiththekids.co.uk/,false
Planning,Useful links for planning sessions and finding accessible places.,Public toilet finder - Android,https://play.google.com/store/apps/details?id=sfcapital.publictoiletinsouthaustralia&hl=en_GB,false
Planning,Useful links for planning sessions and finding accessible places.,Public toilet finder - iPhone,https://apps.apple.com/gb/app/toilet-finder/id311896604,false
Admin,"Booking, expenses, coding, holiday pay, and internal checklists.",Booking system,https://booking-system.time-specialist-support.com/,true
Admin,"Booking, expenses, coding, holiday pay, and internal checklists.",Mileage and expenses form,assets/documents/support-workers/Mileage-and-Expenses-New.doc,false
Admin,"Booking, expenses, coding, holiday pay, and internal checklists.",Diagnosis coding reference,https://www.dropbox.com/scl/fi/ofe30147taxmzc9gctjiw/Diagnosis-Coding-Reference-V5.pdf?rlkey=5kq5ln780hkuhip0p50qho3s7&dl=0,false
Admin,"Booking, expenses, coding, holiday pay, and internal checklists.",Holiday pay entitlement,assets/documents/support-workers/Holiday-Pay-Entitlement.docx,false
Admin,"Booking, expenses, coding, holiday pay, and internal checklists.",Support worker checklist,assets/documents/support-workers/Support-worker-checklist-Feb-2021.pdf,false
Admin,"Booking, expenses, coding, holiday pay, and internal checklists.",New support worker guide,assets/documents/support-workers/Support-Worker-guide-09.20.docx,false
Admin,"Booking, expenses, coding, holiday pay, and internal checklists.",Time Specialist Support policies,policies.html,true
Training,"Training modules, CADS guidance, first aid, epilepsy, communication, and PBS resources.",Extra e-learning modules,extra-elearning.html,false
Training,"Training modules, CADS guidance, first aid, epilepsy, communication, and PBS resources.",Orientation e-learning modules,orientation-elearning.html,false
Training,"Training modules, CADS guidance, first aid, epilepsy, communication, and PBS resources.",Guide to CADS,assets/documents/support-workers/Your-Guide-to-CADS.pdf,false
Training,"Training modules, CADS guidance, first aid, epilepsy, communication, and PBS resources.",Introduction to Positive Behaviour Support,https://www.bild.org.uk/resources/positive-behaviour-support/,false
Training,"Training modules, CADS guidance, first aid, epilepsy, communication, and PBS resources.",British Red Cross first aid app,https://www.redcross.org.uk/first-aid/first-aid-apps#app,false
Training,"Training modules, CADS guidance, first aid, epilepsy, communication, and PBS resources.",Epilepsy in schools - tonic seizure,https://www.youtube.com/watch?v=pjmDY3tR6ak,false
Training,"Training modules, CADS guidance, first aid, epilepsy, communication, and PBS resources.",Epilepsy in schools - tonic clonic seizure,https://www.youtube.com/watch?v=olArThAgUd8,false
Training,"Training modules, CADS guidance, first aid, epilepsy, communication, and PBS resources.",Other ways of speaking,assets/documents/support-workers/other_ways_of_speaking_final.pdf,false
Training,"Training modules, CADS guidance, first aid, epilepsy, communication, and PBS resources.",5 good communication standards,assets/documents/support-workers/RCSLT-Good-standards-v-8-Nov-13.pdf,false
Training,"Training modules, CADS guidance, first aid, epilepsy, communication, and PBS resources.",Luke Beardon presentation video,https://vimeo.com/123744040,false
Reference,"Longer reference documents for autism, communication, sensory needs, and behaviour support.",Self-injurious quicklook factsheet,assets/documents/support-workers/Self-injurious-quicklook-factsheet-2013-v21.pdf,false
Reference,"Longer reference documents for autism, communication, sensory needs, and behaviour support.",Self-injurious behaviour full briefing,assets/documents/support-workers/Self-injurious-behaviour-full-briefing.pdf,false
Reference,"Longer reference documents for autism, communication, sensory needs, and behaviour support.",Pamphlet for commissioners - children,assets/documents/support-workers/Pamphlet-for-Commissioners_Children.pdf,false
Reference,"Longer reference documents for autism, communication, sensory needs, and behaviour support.",Moss and Oliver ASD genetic conditions Cerebra,assets/documents/support-workers/Moss-and-Oliver-ASD-genetic-conditions-Cerebra.pdf,false
Reference,"Longer reference documents for autism, communication, sensory needs, and behaviour support.",Management of abusive difficult and violent patients,assets/documents/support-workers/Management_of_Abusive_Difficult_and_Violent_Patients_20100502.pdf,false
Reference,"Longer reference documents for autism, communication, sensory needs, and behaviour support.",FLACC infographic,assets/documents/support-workers/FLACC-Infographic_V5.pdf,false
Reference,"Longer reference documents for autism, communication, sensory needs, and behaviour support.",CBF Challenge briefing,assets/documents/support-workers/CBF-Challenge-Winter-2014-Final-Web.pdf,false
Reference,"Longer reference documents for autism, communication, sensory needs, and behaviour support.",Autism Quotient test,assets/documents/support-workers/AQ.doc,false
Reference,"Longer reference documents for autism, communication, sensory needs, and behaviour support.",Autism Quotient scoring key,assets/documents/support-workers/AQ_Scoring_Key.doc,false
Reference,"Longer reference documents for autism, communication, sensory needs, and behaviour support.",Understanding challenging behaviour - part 1,assets/documents/support-workers/01-Understanding-Challenging-Behaviour-Part-1-web-1.pdf,false
Reference,"Longer reference documents for autism, communication, sensory needs, and behaviour support.",Finding the causes of challenging behaviour - part 2,assets/documents/support-workers/02-Finding-the-Causes-of-Challenging-Behaviour-Part-2-web.pdf,false
Reference,"Longer reference documents for autism, communication, sensory needs, and behaviour support.",Positive Behaviour Support planning - part 3,assets/documents/support-workers/03-Positive-Behaviour-Support-Planning-Part-3-web-2014.pdf,false
Reference,"Longer reference documents for autism, communication, sensory needs, and behaviour support.",Communication information sheet,assets/documents/support-workers/04-Communication-Information-sheet-web.pdf,false
